user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes,vi,in,en,ja,und,zh,ko,es,pt,tr,ht,de,fr,fa,ar,th,nl,it,bn,hi
ik99xx,ar,#btc,1374326442113310724,0.79,0.01,0.79,0.17,0.53,0.79,0.05,0.32,0.9268964734157812,1.1976209581096235e-05,2.553029616420065e-05,0.001520796897574329,4.13254732283253e-06,1.3413014770167992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HyacintheFASSI1,en,#btc,1414288852181729282,0.81,0.12,0.51,0.47,0.81,0.81,0.06,0.16,0.9558276480922507,0.00023650037727441137,0.0005706021192698846,0.002509314880997643,1.8596462952746386e-05,0.0005572497954515247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrisonWooten2,en,#btc,1424303906289594369,0.73,0.08,0.73,0.17,0.73,0.73,0.14,0.44,0.706846575765891,0.00017459551661665748,6.510225521871167e-05,0.0015968367424530454,0.0,2.316793460301744e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AtoriNiz,en,#btc,1442925455921778689,0.84,0.15,0.76,0.49,0.84,0.84,0.15,0.12,0.6539736759933007,0.00116507328714072,0.0027125939674463194,0.0026233746483157174,1.0331368307081327e-05,0.0005243269410156578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFILM_,th,#bts,4508221873,0.73,0.1,0.67,0.32,0.73,0.73,0.1,0.02,0.8731763859845009,0.0064269864430498026,0.14810763062256904,0.01623450688160596,6.818703082673676e-05,0.2410306560549397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
seyseesaw,en,#bts,1087146894336409600,0.94,0.14,0.34,0.39,0.94,0.94,0.02,0.03,0.8749216998003463,0.0008793585456433943,0.0068114830166087345,0.002053075811725344,5.785566251965543e-05,0.13753827281828168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luv_Mxng,en,#bts,860676362809593856,0.88,0.13,0.37,0.46,0.88,0.88,0.03,0.03,0.8710459581957363,0.0013079306578893828,0.015328389816986072,0.0011405976731807467,5.5789388858239165e-05,0.011068175915346805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuoriwi7,en,#bts,1375947714039537669,0.81,0.59,0.5,0.33,0.81,0.81,0.01,0.06,0.8745537755993553,0.045236572163103214,0.0772329754411316,0.1894912934377614,0.003793678442360263,0.0675662328572526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hxgcgqgt,und,#bts,1411599876475944963,0.84,0.04,0.84,0.46,0.7,0.84,0.12,0.36,0.681518787316787,4.602388294286089e-05,2.6806810972410686e-05,0.0012926773629381796,2.066273661416265e-06,0.0010925510212791382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KatherineHuarc5,en,#bts,1299919572884246528,0.93,0.14,0.64,0.36,0.93,0.93,0.02,0.14,0.8752408933634864,0.004760317117648735,0.006870202697786395,0.01220439510303399,1.4463915629913857e-05,0.014145853122610807,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
