user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes
raniacityx,en,#btc,1455113023345942532,0.75,0.38,0.71,0.32,0.75,0.75,0.01,0.21,Mon Dec 13 05:07:14 +0000 2021,730,5695,2159,44,979
JacobMassengil,en,#btc,1382511103528239105,0.76,0.4,0.66,0.44,0.76,0.76,0.12,0.13,Mon Dec 13 07:21:40 +0000 2021,1100,26035,1781,336,14234
SevdeYurdakulll,tr,#btc,1363173285387767816,0.85,0.17,0.57,0.16,0.85,0.85,0.08,0.34,Mon Dec 13 05:45:10 +0000 2021,290,740,196,14,760
hakan_sah_gdh,tr,#btc,1249432192914059264,0.72,0.08,0.59,0.14,0.72,0.72,0.05,0.31,Sun Dec 12 21:31:54 +0000 2021,14,421,398,6,342
rodrigocorreiv,pt,#btc,1345071033376776197,0.92,0.0,0.82,0.25145833333333334,0.91,0.92,0.92,0.6686226585366135,Fri Oct 01 23:50:39 +0000 2021,0.26,6,11,53,6
CointraderM,pt,#btc,1025174050228854785,0.86,0.04,0.45,0.04,0.85,0.86,0.86,0.2,Mon Dec 13 03:00:31 +0000 2021,42,3926,145,2972,170
jesus_manzax,en,#btc,375204336,0.74,0.21,0.39,0.16,0.74,0.74,0.04,0.14,Wed Dec 08 22:36:35 +0000 2021,44,14491,55,393,2192
threader,en,#btc,900271822465380352,0.79,0.37,0.24,0.06,0.79,0.79,0.51,0.04,Mon Dec 13 07:28:09 +0000 2021,1700,338490,1203,86589,3503
zeelsaround,en,#btc,1454786543537774592,0.85,0.01,0.85,0.19,0.61,0.85,0.12,0.55,Sun Dec 12 04:09:08 +0000 2021,6.4,40,168,5,9
mustafaduman_md,en,#btc,958962623134994432,0.71,0.15,0.33,0.14,0.71,0.71,0.06,0.1,Mon Dec 13 07:11:54 +0000 2021,500,4719,386,180,13097
S_Deneb,ja,#btc,316967507,0.74,0.14,0.27,0.18,0.74,0.74,0.13,0.15,Mon Dec 13 07:31:11 +0000 2021,1800,26659,353,503,27533
Kripto_Q,en,#btc,1261988582727745543,0.71,0.15,0.37,0.21,0.71,0.71,0.02,0.05,Mon Dec 13 06:07:39 +0000 2021,59,6905,105,41,6302
Cryptoinvestern,und,#btc,1437302648869380098,0.75,0.1,0.45,0.09,0.75,0.75,0.07,0.19,Sun Dec 12 17:12:33 +0000 2021,79,2031,238,14,1475
sumitkvsc,en,#btc,1424040348,0.72,0.21,0.51,0.13,0.72,0.72,0.02,0.15,Sun Dec 12 21:49:01 +0000 2021,130,2495,128,25,2104
alef_mim_pe,fa,#btc,902928221263581184,0.79,0.08,0.55,0.04,0.79,0.79,0.07,0.17,Sun Nov 14 19:35:10 +0000 2021,4.7,170,396,186,107
Sohylasamurai2,en,#btc,1448905812659916818,0.79,0.18,0.37,0.08,0.79,0.79,0.15,0.14,Mon Dec 13 07:48:50 +0000 2021,200,9283,298,3347,7307
carlosa55090665,en,#btc,1695096985,0.92,0.07,0.73,0.02,0.92,0.92,0.57,0.33,Wed Nov 24 18:35:41 +0000 2021,60,548,72,3,7
R1988Sajad_,en,#btc,1459186944680857600,0.75,0.35,0.4,0.29,0.75,0.75,0.06,0.19,Sun Dec 12 16:07:33 +0000 2021,190,1086,1039,118,8321
Wasabi_Erase,en,#btc,33967476,0.75,0.46,0.5,0.39,0.75,0.75,0.04,0.03,Sun Dec 12 19:53:07 +0000 2021,240,21595,2494,1430,29310
mehmet32963439,und,#btc,1259481297694740480,0.79,0.32,0.49,0.23,0.79,0.79,0.16,0.17,Sun Dec 12 21:51:09 +0000 2021,860,7960,209,53,7379
Coinhun40030213,en,#btc,1435550065523896321,0.71,0.43,0.48,0.28,0.71,0.71,0.0,0.19,Mon Dec 13 07:31:21 +0000 2021,250,7305,2685,12,2136
KaganOzugur,tr,#btc,1206967097206722561,0.99,0.07,0.99,0.11,0.75,0.99,0.54,0.56,Sun Dec 12 20:36:33 +0000 2021,0.25,16,491,6,268
wG7GsKut6gAPg6b,en,#btc,1422677768232480770,0.88,0.03,0.88,0.61,0.54,0.88,0.02,0.38,Sun Dec 12 20:07:07 +0000 2021,4.3,81,57,0,19
25thNero,en,#btc,1395090377598713862,0.85,0.1,0.85,0.2,0.72,0.85,0.71,0.72,Sun Nov 14 19:59:33 +0000 2021,0.44,13,26,2,2
